Label,Epoch,Facies,Abbreviation,sea level,Remarks,Core sections
0,Holocene,high energy shallow marine,hsm,marine,"subtidal, coarse grained sediments e.g. shoreface, foreshore & channel lag ",N13-4 36-61 (channel lag) // N13-4 2-36 (channel lag) //  N11-2 2-100 (foreshore) //  N28-1 2-80 (shoreface?) // VVC20-4 7-48 (deep shoreface) // N16-4 2-90 // VVC19-4 2-102
1,Holocene,high energy channel fill,hcf,,subtidal,N41-4 1-98 // N41-2 70-97 // N40-1 2-100 (shallow channel on tidal flat) // N25-3 20-80 // N30-4 2-90 // N34-2 2-90 // N46-1 5-110 // VVC06-2 2-112
2,Holocene,low energy channel fill,lcf,,subtidal,"N31-1 1-94 // N41-2 2-60 // N32-3 2-95 // VVC06-1 2-112 (""intermediate"" channel fill)"
3,Holocene,sandflat,sf,,intertidal environment,N40-4 2-100 // N36-4 2-100 // N26-4 2-90 // N38-4 5-100 (some rough surface) // N43-3 5-120 // VC13-2 1-120 // N49-3 14-97 // N50-2 36-145
4,Holocene,mud flat,mf,,intertidal environment,N11-1 22-35 // VVC20-2 60-118 // W5-2 22-75 // W4-3 5-80 (a bit sandy?)// N85-3 33-106
5,Holocene,lagoon,la,,"""brackish"" environment / salt marsh",VVC17-3 95-119 // N71-4 2-42 // N43-1 15-115 // VVC16-4 61-100 // VVC09-4 41-71
6,Holocene,peat,pt,terrestrial,including different peat types,VVC17-2 28-58 // VVC17-3 8-74 // N23-4 33-55 // N71-4 52-65 // N11-1 44-52 // N18-5 45-77
7,Holocene,soil,so,terrestrial,developed on Pleistocene material,VVC17-2 60-66 // VVC17-2 66-76 (Ae horizon of a paleopodzol) // VVC17-2 76-98 (Bhs horizon of a paleopodzol) // N23-4 59-70 // N71-4 72-87 // N11-1 55-72
8,Pleistocene,intertidal/marine,pm,marine,marine sediments,N13-2 40-96 (unclear?) // N13-3 2-78 // N23-1 2-81 // N16-1 47-90 // N18-2 2-80 // N71-1 20-90 // N23-2 21-97
9,Pleistocene,eolian/fluvial,pef,terrestrial,not differentiated / unclear,N15-1 2-90 // N15-2 2-90 // VVC17-1 2-107 // N23-3 40-90 (could also be marine sandflat!)  // N71-3 2-100 // N11-1 85-105 // VVC20-1 30-100 (unclear) // N14-1 2-80
10,Pleistocene,moraine,mo,terrestrial,glacial sediments,N15-4 2-94 //  N14-2 16-78 // N20-1 3-90 // N16-2 20-70 // VVC18-2 34-92
