C:\Data\WASA\N10\N10-1     6/8/2018  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Mn	Fe	Ni	Cu	Zn	Ga	Ge	As	Br	Rb	Sr	Y	Zr	Pd	Sb	Ba	La	Pb	Th	S1	Ca ka+ Ca  ka	Ca ka+Ca kb	Ca ka+Fe ka	Ca ka Cr ka	S2	W la	W lb1	W lb2	W La scat	W Lb1 scat	Cr inc	Cr coh	Dt	
C:\Data\WASA\N10\N10-1\XRF data\L000000.spe	6.00	6.20	1	0.019295	-0.016672	0.008555	0.095857	36846	2.08	23	126	1086	0	174	2306	725	5962	31360	3785	196	891	14962	51	0	70	124	64	44	82	187	524	89	477	17	167	102	62	0	12	284	35	0	0	13	0	484	408	96	261	204	4815	13380	0.155	
C:\Data\WASA\N10\N10-1\XRF data\L000001.spe	8.00	6.21	1	0.019293	-0.016672	0.008363	0.095857	36893	1.98	0	80	1138	0	121	2323	677	5990	32049	3825	260	847	14838	57	0	32	105	31	7	62	204	451	60	364	19	267	102	32	0	21	303	43	0	61	14	0	456	421	48	298	199	4972	12890	0.154	
C:\Data\WASA\N10\N10-1\XRF data\L000002.spe	10.00	6.22	1	0.019294	-0.016672	0.008340	0.095857	37097	2.00	0	111	1150	0	160	2264	676	6168	32700	4079	250	937	14546	54	0	61	75	79	48	53	197	448	72	481	55	335	96	46	0	0	328	34	0	21	32	0	550	450	104	247	263	4815	13049	0.156	
C:\Data\WASA\N10\N10-1\XRF data\L000003.spe	12.00	6.23	1	0.019294	-0.016672	0.008208	0.095857	36880	1.98	0	54	1082	0	170	2298	775	5924	32635	3927	200	889	14446	21	0	20	120	179	146	70	207	435	57	435	13	306	147	39	0	26	341	78	0	84	0	0	492	491	0	258	200	4702	12995	0.155	
C:\Data\WASA\N10\N10-1\XRF data\L000004.spe	14.00	6.25	1	0.019292	-0.016672	0.008175	0.095857	36926	2.22	21	114	1046	0	171	2353	694	5980	32442	3844	236	949	14277	56	0	24	68	0	19	107	156	426	61	480	9	277	157	68	0	0	410	32	0	0	0	0	478	467	136	168	112	4730	13696	0.154	
C:\Data\WASA\N10\N10-1\XRF data\L000005.spe	16.00	6.26	1	0.019289	-0.016672	0.008137	0.095857	37092	1.87	10	80	1078	0	182	2159	749	5830	33848	3720	219	917	14566	58	0	42	112	20	91	110	204	420	93	353	0	267	141	36	0	54	361	10	0	16	0	0	475	397	140	232	220	4908	12769	0.157	
C:\Data\WASA\N10\N10-1\XRF data\L000006.spe	18.00	6.27	1	0.019287	-0.016672	0.008123	0.095857	37029	2.32	4	112	1136	0	210	2176	741	6044	32389	4019	240	963	14580	70	0	48	94	11	61	70	233	469	103	521	25	310	126	46	0	0	341	0	0	0	0	0	428	471	132	313	254	4757	13035	0.156	
C:\Data\WASA\N10\N10-1\XRF data\L000007.spe	20.00	6.28	1	0.019286	-0.016672	0.008111	0.095857	37726	2.53	12	71	1170	0	221	2266	631	5941	32555	4156	202	1029	14729	23	0	31	47	0	0	102	238	504	90	417	49	283	176	45	54	39	302	38	0	0	0	0	418	385	122	248	219	4659	15744	0.158	
C:\Data\WASA\N10\N10-1\XRF data\L000008.spe	22.00	6.29	1	0.019292	-0.016672	0.008027	0.095857	36997	1.90	12	89	1045	0	145	2314	770	5945	32582	4040	164	917	14675	48	0	38	94	21	70	53	165	381	79	432	0	268	153	63	0	24	313	30	0	0	0	0	487	472	121	247	163	4798	13143	0.158	
C:\Data\WASA\N10\N10-1\XRF data\L000009.spe	24.00	6.30	1	0.019290	-0.016672	0.008010	0.095857	37057	2.13	23	110	1129	0	170	2375	770	5931	32178	4028	219	1067	14301	63	0	39	75	35	41	59	240	437	63	414	13	344	112	68	21	21	291	0	0	25	0	0	527	380	126	286	188	4799	13918	0.155	
C:\Data\WASA\N10\N10-1\XRF data\L000010.spe	26.00	6.31	1	0.019288	-0.016672	0.008049	0.095857	37069	1.96	8	74	1106	0	183	2329	742	6055	32256	4110	192	914	14762	53	0	29	101	42	25	30	236	440	81	533	0	287	52	26	33	44	243	24	0	0	45	0	501	420	158	275	210	4661	12826	0.157	
C:\Data\WASA\N10\N10-1\XRF data\L000011.spe	28.00	6.32	1	0.019286	-0.016672	0.008027	0.095857	36783	1.94	13	85	1143	0	188	2267	755	5904	31474	3894	189	871	14683	50	6	38	145	102	107	87	138	449	50	438	14	241	142	54	0	24	298	59	0	33	0	0	504	518	7	240	224	4890	12885	0.154	
C:\Data\WASA\N10\N10-1\XRF data\L000012.spe	30.00	6.33	1	0.019286	-0.016672	0.008077	0.095857	36843	1.93	4	115	1121	0	217	2422	880	6151	32631	3744	218	933	13976	85	0	18	101	63	40	77	198	422	58	467	0	258	163	37	0	12	376	22	0	0	32	0	455	359	13	289	230	4923	12980	0.153	
C:\Data\WASA\N10\N10-1\XRF data\L000013.spe	32.00	6.33	1	0.019289	-0.016672	0.008041	0.095857	36295	2.12	30	73	1237	0	180	2361	644	5950	31334	3796	190	943	13493	54	0	52	106	20	43	113	178	475	65	533	52	340	196	52	0	78	369	71	0	0	41	0	581	503	168	285	279	4854	12661	0.151	
